Grupão;Grupo;Família;Espécie (Simplificado);Nome Comum;Categoria
Flora;Angiospermas;Salicaceae;Abatia angeliana;Vazio;VU
Fauna;Aves;Cracidae;Aburria jacutinga;Jacutinga;EN
Flora;Angiospermas;Malvaceae;Abutilon anodoides;Vazio;CR
Flora;Angiospermas;Malvaceae;Abutilon nigricans;Vazio;CR
Flora;Angiospermas;Santalaceae;Acanthosyris paulo-alvinii;Vazio;VU
Flora;Angiospermas;Myrtaceae;Accara elegans;Vazio;EN
Fauna;Invertebrados Terrestres;Coenagrionidae;Aceratobasis cornicauda;Libélula;VU
Fauna;Invertebrados Terrestres;Coenagrionidae;Aceratobasis mourei;Libélula;EN
Fauna;Invertebrados Terrestres;Hypogastruridae;Acherontides eleonorae;Colêmbolo;EN
Flora;Angiospermas;Plantaginaceae;Achetaria caparaoense;Vazio;CR
Flora;Angiospermas;Plantaginaceae;Achetaria latifolia;Vazio;CR
Fauna;Peixes Marinhos;Achiridae;Achirus mucuri;Solha;VU
Flora;Angiospermas;Orchidaceae;Acianthera adiri;Vazio;CR
Flora;Angiospermas;Orchidaceae;Acianthera heringeri;Vazio;CR
Flora;Angiospermas;Orchidaceae;Acianthera langeana;Vazio;EN
Flora;Angiospermas;Orchidaceae;Acianthera papillosa;Vazio;VU
Flora;Angiospermas;Asteraceae;Acmella pusilla;Vazio;EN
Flora;Angiospermas;Asteraceae;Acritopappus catolesensis;Vazio;VU
Flora;Angiospermas;Asteraceae;Acritopappus connatifolius;Vazio;EN
Flora;Angiospermas;Asteraceae;Acritopappus irwinii;Vazio;VU
Flora;Angiospermas;Asteraceae;Acritopappus pintoi;Vazio;CR
Fauna;Aves;Furnariidae;Acrobatornis fonsecai;Acrobata;VU
Flora;Angiospermas;Arecaceae;Acrocomia emensis;Vazio;VU
Flora;Angiospermas;Eriocaulaceae;Actinocephalus cipoensis;Vazio;CR
Flora;Angiospermas;Eriocaulaceae;Actinocephalus claussenianus;Vazio;VU
Fauna;Invertebrados Terrestres;Nymphalidae;Actinote quadra;Borboleta-palha;VU
Fauna;Invertebrados Terrestres;Nymphalidae;Actinote zikani;Borboleta;CR
Flora;Angiospermas;Orchidaceae;Adamantinia miltonioides;Vazio;CR
Fauna;Invertebrados Terrestres;Baetidae;Adebrotus lugoi;Siriruia;VU
Fauna;Anfíbios;Eleutherodactylidae;Adelophryne maranguapensis;Desconhecido;VU
Flora;Angiospermas;Bignoniaceae;Adenocalymma dichilum;Vazio;EN
Flora;Angiospermas;Bignoniaceae;Adenocalymma fruticosum;Vazio;EN
Flora;Angiospermas;Bignoniaceae;Adenocalymma magnoalatum;Vazio;EN
Flora;Angiospermas;Bignoniaceae;Adenocalymma ubatubense;Vazio;CR
Flora;Angiospermas;Euphorbiaceae;Adenophaedra cearensis;Vazio;CR
Flora;Pteridófitas;Pteridaceae;Adiantum diphyllum;Vazio;CR
Flora;Pteridófitas;Pteridaceae;Adiantum discolor;Vazio;EN
Flora;Pteridófitas;Pteridaceae;Adiantum mynsseniae;Vazio;EN
Flora;Pteridófitas;Pteridaceae;Adiantum papillosum;Vazio;EN
Flora;Pteridófitas;Pteridaceae;Adiantum tetragonum;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea alopecurus;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea amicorum;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea apocalyptica;Vazio;VU
Flora;Angiospermas;Bromeliaceae;Aechmea azurea;Vazio;VU
Flora;Angiospermas;Bromeliaceae;Aechmea bambusoides;Vazio;VU
Flora;Angiospermas;Bromeliaceae;Aechmea cariocae;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea castanea;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea depressa;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea echinata;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea fosteriana;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea gustavoi;Vazio;CR
Flora;Angiospermas;Bromeliaceae;Aechmea kertesziae;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea kleinii;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea macrochlamys;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea marginalis;Vazio;CR
Flora;Angiospermas;Bromeliaceae;Aechmea muricata;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea mutica;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea orlandiana;Vazio;CR
Flora;Angiospermas;Bromeliaceae;Aechmea sphaerocephala;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea triangularis;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea vanhoutteana;Vazio;VU
Flora;Angiospermas;Bromeliaceae;Aechmea werdermannii;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Aechmea winkleri;Vazio;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla brevipalma;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla camargoi;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla cavernicola;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla franca;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla grisella;Egla;VU
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla inconspicua;Egla;VU
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla inermis;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla itacolomiensis;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla lata;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leachi;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leptochela;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leptodactyla;Egla;VU
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla ligulata;Egla;VU
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla manuinflata;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla microphthalma;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla oblata;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla obstipa;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla perobae;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla plana;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla pomerana;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla renana;Egla;CR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla rossiana;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla spinipalma;Egla;VU
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla spinosa;Egla;VU
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla strinatii;Egla;EN
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla violacea;Egla;EN
Flora;Angiospermas;Fabaceae;Aeschynomene fructipendula;Vazio;EN
Flora;Angiospermas;Fabaceae;Aeschynomene laca-buendiana;Vazio;EN
Flora;Angiospermas;Orobanchaceae;Agalinis bandeirensis;Vazio;CR
Flora;Angiospermas;Orobanchaceae;Agalinis brachyphylla;Vazio;VU
Flora;Angiospermas;Orobanchaceae;Agalinis itambensis;Vazio;EN
Flora;Angiospermas;Orobanchaceae;Agalinis nana;Vazio;EN
Flora;Angiospermas;Orobanchaceae;Agalinis ramulifera;Vazio;EN
Flora;Angiospermas;Orobanchaceae;Agalinis schwackeana;Vazio;CR
Fauna;Anfíbios;Hylidae;Agalychnis granulosa;Desconhecido;VU
Flora;Angiospermas;Asteraceae;Agrianthus almasensis;Vazio;EN
Flora;Angiospermas;Asteraceae;Agrianthus giuliettiae;Vazio;EN
Flora;Angiospermas;Poaceae;Agrostis lenis;Vazio;VU
Flora;Angiospermas;Poaceae;Agrostis longiberbis;Vazio;EN
Fauna;Peixes Continentais;Pimelodidae;Aguarunichthys tocantinsensis;Bagre;EN
Flora;Angiospermas;Lauraceae;Aiouea benthamiana;louro rosa;EN
Flora;Angiospermas;Lauraceae;Aiouea bracteata;Vazio;VU
Flora;Angiospermas;Lauraceae;Aiouea lehmannii;Vazio;EN
Fauna;Mamíferos;Cricetidae;Akodon mystax;Rato-do-chão;VU
Flora;Pteridófitas;Polypodiaceae;Alansmia senilis;Vazio;CR
Flora;Angiospermas;Orchidaceae;Alatiglossum croesus;Vazio;CR
Flora;Angiospermas;Fabaceae;Albizia burkartiana;Angico-branco;VU
Flora;Angiospermas;Fabaceae;Albizia glabripetala;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Alcantarea benzingii;Vazio;CR
Flora;Angiospermas;Bromeliaceae;Alcantarea duarteana;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Alcantarea farneyi;Vazio;CR
Flora;Angiospermas;Bromeliaceae;Alcantarea geniculata;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Alcantarea glaziouana;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Alcantarea imperialis;Vazio;VU
Flora;Angiospermas;Bromeliaceae;Alcantarea nahoumii;Vazio;VU
Flora;Angiospermas;Bromeliaceae;Alcantarea nevaresii;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Alcantarea vinicolor;Vazio;EN
Flora;Angiospermas;Asteraceae;Aldama corumbensis;Vazio;EN
Flora;Angiospermas;Asteraceae;Aldama filifolia;Vazio;EN
Flora;Angiospermas;Asteraceae;Aldama goyazii;Vazio;VU
Flora;Angiospermas;Asteraceae;Aldama linearifolia;Vazio;CR
Flora;Angiospermas;Asteraceae;Aldama paranensis;Vazio;CR
Flora;Angiospermas;Asteraceae;Aldama vernonioides;Vazio;EN
Fauna;Aves;Tyrannidae;Alectrurus tricolor;Galito;VU
Fauna;Invertebrados Terrestres;Sphingidae;Aleuron prominens;Mariposa;VU
Fauna;Invertebrados Terrestres;Sphingidae;Aleuron ypanemae;Mariposa;EN
Flora;Angiospermas;Euphorbiaceae;Algernonia dimitrii;Vazio;CR
Flora;Angiospermas;Euphorbiaceae;Algernonia kuhlmannii;"sabiá; pau de leite";CR
Flora;Angiospermas;Arecaceae;Allagoptera brevicalyx;Cachandó;VU
Fauna;Anfíbios;Aromobatidae;Allobates brunneus;Desconhecido;CR
Fauna;Anfíbios;Aromobatidae;Allobates goianus;Desconhecido;EN
Fauna;Anfíbios;Aromobatidae;Allobates olfersioides;Desconhecido;VU
Flora;Angiospermas;Rutaceae;Almeidea coerulea;Vazio;EN
Fauna;Peixes Marinhos;Alopiidae;Alopias superciliosus;Tubarão-raposa;VU
Fauna;Peixes Marinhos;Alopiidae;Alopias vulpinus;Tubarão-raposa;VU
Fauna;Mamíferos;Atelidae;Alouatta belzebul;Guariba-de-mãos-ruivas;VU
Fauna;Mamíferos;Atelidae;Alouatta discolor;Guariba-de-mãos-ruivas;VU
Fauna;Mamíferos;Atelidae;Alouatta guariba clamitans;Bugio-ruivo;VU
Fauna;Mamíferos;Atelidae;Alouatta guariba guariba;Bugio-marrom;CR
Fauna;Mamíferos;Atelidae;Alouatta ululata;Guariba;EN
Flora;Angiospermas;Verbenaceae;Aloysia hatschbachii;Vazio;EN
Flora;Angiospermas;Rubiaceae;Alseis involuta;Vazio;VU
Flora;Angiospermas;Alstroemeriaceae;Alstroemeria amabilis;Vazio;EN
Flora;Angiospermas;Alstroemeriaceae;Alstroemeria brasiliensis;Vazio;EN
Flora;Angiospermas;Alstroemeriaceae;Alstroemeria capixaba;Vazio;CR
Flora;Angiospermas;Alstroemeriaceae;Alstroemeria caryophyllaea;Vazio;EN
Flora;Angiospermas;Alstroemeriaceae;Alstroemeria malmeana;Vazio;CR
Flora;Angiospermas;Alstroemeriaceae;Alstroemeria orchidioides;Vazio;EN
Flora;Angiospermas;Alstroemeriaceae;Alstroemeria penduliflora;Vazio;EN
Flora;Angiospermas;Amaranthaceae;Alternanthera decurrens;Vazio;EN
Flora;Angiospermas;Amaranthaceae;Alternanthera hirtula;Vazio;VU
Flora;Angiospermas;Amaranthaceae;Alternanthera januarensis;Vazio;EN
Fauna;Invertebrados Terrestres;Lucanidae;Altitatiayus campoi;Besouro-tesoura;VU
Fauna;Invertebrados Terrestres;Lucanidae;Altitatiayus dulceae;Besouro-tesoura;VU
Fauna;Invertebrados Terrestres;Lucanidae;Altitatiayus godinhorum;Besouro-tesoura;VU
Fauna;Invertebrados Terrestres;Lucanidae;Altitatiayus koikei;Besouro-tesoura;VU
Fauna;Invertebrados Terrestres;Lucanidae;Altitatiayus rotundatus;Besouro-tesoura;VU
Fauna;Invertebrados Terrestres;Lucanidae;Altitatiayus ruficollis;Besouro-tesoura;VU
Fauna;Invertebrados Terrestres;Lucanidae;Altitatiayus trifurcatus;Besouro-tesoura;VU
Flora;Angiospermas;Poaceae;Altoparadisium chapadense;Vazio;CR
Fauna;Aves;Accipitridae;Amadonastur lacernulatus;Gavião-pombo-pequeno ;VU
Flora;Angiospermas;Amaranthaceae;Amaranthus rosengurtii;Vazio;EN
Fauna;Aves;Psittacidae;Amazona pretrei;Papagaio-charão;VU
Fauna;Aves;Psittacidae;Amazona rhodocorytha;Chauá;VU
Fauna;Aves;Psittacidae;Amazona vinacea;Papagaio-de-peito-roxo;VU
Flora;Angiospermas;Fabaceae;Amburana acreana;"cerejeira; cumaru de cheiro";VU
Fauna;Répteis;Teiidae;Ameiva parecis;Calango;EN
Fauna;Répteis;Teiidae;Ameivula abaetensis;Lagartinho-de-abaeté;EN
Fauna;Répteis;Teiidae;Ameivula littoralis;Lagarto-da-cauda-verde;EN
Fauna;Répteis;Teiidae;Ameivula nativo;Lagartinho-de-linhares;EN
Fauna;Répteis;Typhlopidae;Amerotyphlops amoipira;Cobra-cega-das-dunas;EN
Fauna;Répteis;Typhlopidae;Amerotyphlops paucisquamus;Desconhecido;VU
Fauna;Répteis;Typhlopidae;Amerotyphlops yonenagae;Cobra-cega-do-são-francisco;EN
Fauna;Répteis;Amphisbanidae;Amphisbaena arda;Cobra-de-duas-cabeças;EN
Fauna;Répteis;Amphisbanidae;Amphisbaena frontalis;Cobra-de-duas-cabeças;EN
Fauna;Répteis;Amphisbanidae;Amphisbaena nigricauda;Cobra-de-duas-cabeças;EN
Fauna;Répteis;Amphisbanidae;Amphisbaena supernumeraria;Cobra-de-duas-cabeças;EN
Fauna;Répteis;Amphisbanidae;Amphisbaena uroxena;Cobra-de-duas-cabeças;EN
Fauna;Invertebrados Terrestres;Lampyridae;Amydetes bellorum;Vagalume;EN
Fauna;Peixes Continentais;Rivulidae;Anablepsoides cearensis;Peixe-anual;CR
Fauna;Invertebrados Terrestres;Buthidae;Ananteris infuscata;Escorpião;EN
Flora;Angiospermas;Orchidaceae;Anathallis colnagoi;Vazio;CR
Flora;Angiospermas;Orchidaceae;Anathallis gehrtii;Vazio;VU
Flora;Angiospermas;Orchidaceae;Anathallis pabstii;Vazio;EN
Flora;Angiospermas;Orchidaceae;Anathallis tigridens;Vazio;VU
Fauna;Peixes Continentais;Loricariidae;Ancistrus cryptophthalmus;Cascudinho-de-caverna;EN
Fauna;Peixes Continentais;Loricariidae;Ancistrus formoso;Cascudo-cego;VU
Fauna;Peixes Continentais;Loricariidae;Ancistrus minutus;Desconhecido;EN
Flora;Angiospermas;Rutaceae;Andreadoxa flava;Vazio;CR
Flora;Angiospermas;Poaceae;Andropogon glaucophyllus;Vazio;EN
Flora;Pteridófitas;Anemiaceae;Anemia blechnoides;Vazio;VU
Flora;Pteridófitas;Anemiaceae;Anemia dentata;Vazio;VU
Flora;Pteridófitas;Anemiaceae;Anemia gardneri;Vazio;VU
Flora;Pteridófitas;Anemiaceae;Anemia trichorhiza;Vazio;VU
Flora;Angiospermas;Bignoniaceae;Anemopaegma arvense;"alecrim-do-campo; catuaba; catuaba-verdadeira; catuabinha";EN
Flora;Angiospermas;Bignoniaceae;Anemopaegma mirabile;Vazio;CR
Flora;Angiospermas;Plantaginaceae;Angelonia alternifolia;Vazio;CR
Flora;Angiospermas;Lauraceae;Aniba ferrea;Vazio;VU
Flora;Angiospermas;Lauraceae;Aniba rosaeodora;Pau - rosa;EN
Flora;Angiospermas;Lauraceae;Aniba santalodora;Vazio;VU
Flora;Angiospermas;Annonaceae;Annona maritima;Vazio;VU
Flora;Angiospermas;Annonaceae;Annona parviflora;Vaovír;EN
Flora;Angiospermas;Annonaceae;Annona pickelii;Araticum;VU
Flora;Angiospermas;Annonaceae;Annona ubatubensis;Vazio;EN
Fauna;Invertebrados Terrestres;Formicidae;Anochetus oriens;Formiga;VU
Fauna;Aves;Psittacidae;Anodorhynchus leari;Arara-azul-de-lear;EN
Flora;Angiospermas;Poaceae;Anomochloa marantoidea;Vazio;EN
Flora;Angiospermas;Asteraceae;Anteremanthus hatschbachii;Vazio;EN
Flora;Angiospermas;Poaceae;Anthaenantiopsis fiebrigii;Vazio;CR
Flora;Angiospermas;Araceae;Anthurium jureianum;Vazio;VU
Flora;Angiospermas;Araceae;Anthurium langsdorffii;Vazio;EN
Flora;Angiospermas;Araceae;Anthurium lucidum;Vazio;EN
Flora;Angiospermas;Araceae;Anthurium luschnathianum;Vazio;EN
Flora;Angiospermas;Araceae;Anthurium radicans;Vazio;VU
Flora;Angiospermas;Araceae;Anthurium xanthophylloides;Vazio;VU
Fauna;Aves;Motacillidae;Anthus nattereri;Caminheiro-grande;VU
Fauna;Aves;Pipridae;Antilophia bokermanni;Soldadinho-do-araripe;CR
Flora;Angiospermas;Loasaceae;Aosa uleana;Vazio;CR
Fauna;Anfíbios;Hylidae;Aparasphenodon pomba;Perereca;CR
Fauna;Peixes Continentais;Parodontidae;Apareiodon davisi;Peixe-rei;EN
Fauna;Peixes Continentais;Parodontidae;Apareiodon vladii;Canivete;VU
Flora;Angiospermas;Acanthaceae;Aphelandra espirito-santensis;Vazio;EN
Flora;Angiospermas;Acanthaceae;Aphelandra margaritae;Vazio;VU
Flora;Angiospermas;Acanthaceae;Aphelandra maximiliana;Vazio;EN
Fauna;Peixes Continentais;Characidae;Aphyocheirodon hemigrammus;Lambari;VU
Flora;Angiospermas;Poaceae;Apoclada simplex;Vazio;EN
Fauna;Répteis;Dipsadidae;Apostolepis arenaria;Cobra-rainha-do-são-francisco;EN
Fauna;Répteis;Dipsadidae;Apostolepis gaboi;Cobra-rainha-das-dunas;EN
Fauna;Répteis;Dipsadidae;Apostolepis quirogai;Desconhecido;EN
Fauna;Répteis;Dipsadidae;Apostolepis serrana;Cobra-rainha-da-serra-do-roncador;EN
Fauna;Répteis;Dipsadidae;Apostolepis striata;Cobra-rainha-estriada;EN
Fauna;Peixes Continentais;Apteronotidae;Apteronotus acidops;Sarapó;EN
Fauna;Peixes Continentais;Apteronotidae;Apteronotus lindalvae;Desconhecido;CR
Flora;Angiospermas;Fabaceae;Apuleia leiocarpa;"Grapia; Amarelão; Garapa; cumaru cetim; mitaroá";VU
Flora;Angiospermas;Fabaceae;Arachis villosa;Vazio;EN
Flora;Angiospermas;Bromeliaceae;Araeococcus montanus;Vazio;EN
Fauna;Aves;Psittacidae;Aratinga solstitialis;Jandaia-amarela;EN
Flora;Gimnospermas;Araucariaceae;Araucaria angustifolia;"araucária; pinheiro-do-paraná; curi; pinheiro-brasileiro; pinho-do-paraná";EN
Fauna;Invertebrados Terrestres;Lycaenidae;Arawacus aethesa;Borboleta;EN
Fauna;Invertebrados Terrestres;Andrenidae;Arhysosage cactorum;Abelha;VU
Flora;Angiospermas;Poaceae;Aristida brasiliensis;Vazio;EN
Flora;Angiospermas;Poaceae;Aristida constricta;Vazio;CR
Flora;Angiospermas;Aristolochiaceae;Aristolochia hypoglauca;Vazio;EN
Flora;Angiospermas;Aristolochiaceae;Aristolochia odora;"calunga; jarrinha-cheirosa; jarrinha-de-barbelas; papo-de-peru; aipo-rasteiro";VU
Fauna;Aves;Passerelidae;Arremonops conirostris;Tico-tico-cantor;VU
Fauna;Invertebrados Terrestres;Arrhopalitidae;Arrhopalites alambariensis;Colêmbolo;CR
Fauna;Invertebrados Terrestres;Arrhopalitidae;Arrhopalites amorimi;Colêmbolo;CR
Fauna;Invertebrados Terrestres;Arrhopalitidae;Arrhopalites botuveraensis;Colêmbolo;CR
Fauna;Invertebrados Terrestres;Arrhopalitidae;Arrhopalites gnaspinii;Colêmbolo;CR
Fauna;Invertebrados Terrestres;Arrhopalitidae;Arrhopalites heteroculatus;Colêmbolo;CR
Fauna;Invertebrados Terrestres;Arrhopalitidae;Arrhopalites lawrencei;Colêmbolo;CR
Fauna;Invertebrados Terrestres;Arrhopalitidae;Arrhopalites paranaensis;Colêmbolo;CR
Flora;Angiospermas;Cactaceae;Arrojadoa bahiensis;Vazio;EN
Flora;Angiospermas;Cactaceae;Arrojadoa eriocaulis;Vazio;EN
Flora;Angiospermas;Cactaceae;Arthrocereus glaziovii;Vazio;EN
Flora;Angiospermas;Cactaceae;Arthrocereus melanurus subsp. magnus;Vazio;EN
Flora;Angiospermas;Cactaceae;Arthrocereus melanurus subsp. melanurus;Vazio;EN
Flora;Angiospermas;Cactaceae;Arthrocereus melanurus subsp. odorus;Vazio;EN
Flora;Angiospermas;Cactaceae;Arthrocereus rondonianus;Vazio;EN
Flora;Angiospermas;Poaceae;Arthropogon xerachne;Vazio;CR
Flora;Angiospermas;Poaceae;Arundinella deppeana;Vazio;VU
Flora;Angiospermas;Asteraceae;Aspilia almasensis;Vazio;VU
Flora;Angiospermas;Asteraceae;Aspilia belo-horizontinae;Vazio;CR
Flora;Angiospermas;Asteraceae;Aspilia caudata;Vazio;EN
Flora;Angiospermas;Asteraceae;Aspilia cordifolia;Vazio;EN
Flora;Angiospermas;Asteraceae;Aspilia cylindrocephala;Vazio;VU
Flora;Angiospermas;Asteraceae;Aspilia diamantinae;Vazio;EN
Flora;Angiospermas;Asteraceae;Aspilia diffusiflora;Vazio;VU
Flora;Angiospermas;Asteraceae;Aspilia diniz-cruzeanae;Vazio;CR
Flora;Angiospermas;Asteraceae;Aspilia eglerii;Vazio;CR
Flora;Angiospermas;Asteraceae;Aspilia espinhacensis;Vazio;EN
Flora;Angiospermas;Asteraceae;Aspilia grazielae;Vazio;EN
Flora;Angiospermas;Asteraceae;Aspilia jugata;Vazio;CR
Flora;Angiospermas;Asteraceae;Aspilia ovalifolia;Vazio;CR
Flora;Angiospermas;Asteraceae;Aspilia pereirae;Vazio;EN
Flora;Angiospermas;Asteraceae;Aspilia prostrata;Vazio;EN
Flora;Angiospermas;Asteraceae;Aspilia reticulata;Vazio;VU
Flora;Angiospermas;Asteraceae;Aspilia silphioides;Vazio;EN
Flora;Pteridófitas;Aspleniaceae;Asplenium beckeri;Vazio;CR
Flora;Pteridófitas;Aspleniaceae;Asplenium bradeanum;Vazio;EN
Flora;Pteridófitas;Aspleniaceae;Asplenium castaneum;Vazio;EN
Flora;Pteridófitas;Aspleniaceae;Asplenium schwackei;Vazio;CR
Flora;Pteridófitas;Aspleniaceae;Asplenium trindadense;Vazio;CR
Flora;Angiospermas;Cyclanthaceae;Asplundia polymera subsp. reitzii;Vazio;VU
Fauna;Aves;Furnariidae;Asthenes hudsoni;João-platino;VU
Flora;Angiospermas;Euphorbiaceae;Astraea cincta;Vazio;EN
Fauna;Invertebrados Aquáticos;Astropectinidae;Astropecten articulatus;Estrela-do-mar;VU
Fauna;Invertebrados Aquáticos;Astropectinidae;Astropecten brasiliensis;Estrela-do-mar;VU
Fauna;Invertebrados Aquáticos;Astropectinidae;Astropecten marginatus;Estrela-do-mar;VU
Fauna;Peixes Continentais;Characidae;Astyanax eremus;Lambari, Piaba;CR
Fauna;Peixes Continentais;Characidae;Astyanax gymnogenys;Lambari ;EN
Fauna;Peixes Continentais;Characidae;Astyanax jordanensis;Lambari ;VU
Fauna;Mamíferos;Atelidae;Ateles belzebuth;Macaco-aranha;VU
Fauna;Mamíferos;Atelidae;Ateles chamek;Macaco-aranha-de-cara-preta;VU
Fauna;Mamíferos;Atelidae;Ateles marginatus;Coatá-da-testa-branca;EN
Fauna;Mamíferos;Canidae;Atelocynus microtis;Cachorro-do-mato-de-orelhas-curtas;VU
Fauna;Invertebrados Terrestres;Scarabaeidae;Ateuchus squalidus;Desconhecido;VU
Fauna;Peixes Continentais;Rivulidae;Atlantirivulus lazzarotoi;Peixe-anual;CR
Fauna;Peixes Continentais;Rivulidae;Atlantirivulus maricensis;Desconhecido;CR
Fauna;Peixes Continentais;Rivulidae;Atlantirivulus nudiventris;Peixe-anual;CR
Fauna;Peixes Continentais;Rivulidae;Atlantirivulus simplicis;Peixe-anual;EN
Fauna;Peixes Marinhos;Arhynchobatidae;Atlantoraja castelnaui;Raia-chita;EN
Fauna;Répteis;Dipsadidae;Atractus caete;Cobra-da-terra-da-floresta;EN
Fauna;Répteis;Dipsadidae;Atractus hoogmoedi;Desconhecido;EN
Fauna;Répteis;Dipsadidae;Atractus ronnie;Cobra-da-terra-dos-brejos;EN
Fauna;Répteis;Dipsadidae;Atractus serranus;Desconhecido;VU
Fauna;Répteis;Dipsadidae;Atractus thalesdelemai;Cobra-da-terra-do-sul;EN
Flora;Briófitas;Dicranaceae;Atractylocarpus brasiliensis;Vazio;EN
Flora;Briófitas;Dicranaceae;Atractylocarpus longisetus;Vazio;EN
Fauna;Invertebrados Terrestres;Formicidae;Atta robusta;Saúva-preta;VU
Flora;Angiospermas;Arecaceae;Attalea barreirensis;Catole;VU
Flora;Angiospermas;Arecaceae;Attalea brasiliensis;Indaiá;EN
Fauna;Aves;Tyrannidae;Attila spadiceus uropygiatus;Capitão-de-saíra-amarelo ;VU
Fauna;Aves;Trochilidae;Augastes lumachella;Beija-flor-de-gravata-vermelha;EN
Flora;Angiospermas;Asteraceae;Austroeupatorium rosmarinaceum;Vazio;VU
Fauna;Peixes Continentais;Rivulidae;Austrolebias adloffi;Peixe-anual;EN
Fauna;Peixes Continentais;Rivulidae;Austrolebias alexandri;Peixe-anual;CR
Fauna;Peixes Continentais;Rivulidae;Austrolebias arachan;Peixe-anual;CR
Fauna;Peixes Continentais;Rivulidae;Austrolebias carvalhoi;Peixe-anual;CR
Fauna;Peixes Continentais;Rivulidae;Austrolebias charrua;Peixe-anual;EN
Fauna;Peixes Continentais;Rivulidae;Austrolebias cheradophilus;Peixe-anual;CR
Fauna;Peixes Continentais;Rivulidae;Austrolebias cyaneus;Peixe-anual;CR
Fauna;Peixes Continentais;Rivulidae;Austrolebias ibicuiensis;Peixe-anual;CR
Fauna;Peixes Continentais;Rivulidae;Austrolebias jaegari;Peixe-anual;CR
Fauna;Peixes Continentais;Rivulidae;Austrolebias juanlangi;Peixe-anual;EN
Fauna;Peixes Continentais;Rivulidae;Austrolebias litzi;Peixe-anual;CR
Fauna;Peixes Continentais;Rivulidae;Austrolebias luteoflammulatus;Peixe-anual;CR
Fauna;Peixes Continentais;Rivulidae;Austrolebias melanoorus;Peixe-anual;EN
Fauna;Peixes Continentais;Rivulidae;Austrolebias minuano;Peixe-anual;EN
Fauna;Peixes Continentais;Rivulidae;Austrolebias nachtigalli;Peixe-anual;EN
Fauna;Peixes Continentais;Rivulidae;Austrolebias nigrofasciatus;Peixe-anual;EN
Fauna;Peixes Continentais;Rivulidae;Austrolebias paucisquama;Peixe-anual;VU
Fauna;Peixes Continentais;Rivulidae;Austrolebias periodicus;Peixe-anual;VU
Fauna;Peixes Continentais;Rivulidae;Austrolebias prognathus;Peixe-anual;CR
Fauna;Peixes Continentais;Rivulidae;Austrolebias univentripinnis;Peixe-anual;CR
Fauna;Peixes Continentais;Rivulidae;Austrolebias varzeae;Peixe-anual;VU
